what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1327884320684
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327884321812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327884323418
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327884325910
error,log,,,"Internal Error",1327884326056
error,log,,,"Resource '/Algorithms/src/abstractStack' does not exist.",1327884326056
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327884326073
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327884329668
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327884332174
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1327884333436
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1327884333959
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1327884334375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1327884334743
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1327884334947
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1327884335123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327884336184
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327884341555
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1327884343546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1327884344435
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1327884345392
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1327884346329
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1327884347654
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1327884352316
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1327884352775
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327884353942
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327884356040
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327884359153
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327884362542
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1327884362645
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327884367895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327884371774
opened,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327884372086
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327884372178
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327884374484
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327884375116
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327884378273
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1327884380157
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1327884380789
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327884381596
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327884398149
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327884399159
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327884399951
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327884412729
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327884418696
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327884420448
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327884421392
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327884423594
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327884425978
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327884427650
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327884428955
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327884429783
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327884431466
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327884645214
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327884662656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886381595
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327886382313
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886385622
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886390214
opened,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327886390505
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327886390547
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886392467
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886406725
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886411704
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886414405
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886425010
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886427272
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327886436493
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886438255
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886446247
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327886455038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886456503
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886473330
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886483013
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886489747
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327886503075
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886503896
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886511230
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886587456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886731020
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327886732126
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886736175
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886742006
opened,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327886742311
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327886742376
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886749741
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886753490
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327886760787
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886761821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886763864
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327886765008
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886769891
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886771634
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886779626
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886781875
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327886786110
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886793711
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886797780
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327886800661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886801504
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886851092
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327886857996
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886858422
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886860879
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327886865314
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327886896495
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886897497
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886904366
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886910025
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886911566
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886920246
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886921912
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327886927857
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327886930309
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886935582
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886938230
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327886939209
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886950236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886952681
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327886956406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327886957822
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327893986063
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327893987092
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327893991365
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894000425
opened,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327894001250
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327894001352
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894025960
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894051466
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327894064710
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894066128
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894069413
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894072785
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894075051
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327894077115
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327894083615
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327894116527
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894117707
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894125739
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327894142469
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894143697
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327894148160
