what,kind,bundleId,bundleVersion,description,time
closed,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1327973406768
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973420180
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973421455
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327973448998
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973457350
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973464223
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327973468830
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327973471477
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973472880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973475298
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973477108
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973479027
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327973498467
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973499909
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973502425
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327973508812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973509459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973510712
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327973513051
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973515779
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973517185
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973525559
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973527821
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327973531300
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327973534531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327973535995
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973552276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973560024
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973562297
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973564107
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327973583535
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327973587684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973589633
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973595932
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327973603949
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327973620668
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327973626053
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327973633746
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327973641836
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973672406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973791247
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327973800892
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327973807028
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327973811872
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327973823751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973843794
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327973847172
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327973850126
